tj;fa
мардписанд;مرد‌پسند
гинекологӣ;گینکالاگی
қоимӣ деҳ нафсро ки мунсанист;قایمی ده نفس را که منثنیست
хуни худ ҷӯяд зи хунполои хеш;خون خود جوید ز خون‌پالای خویش
чунин бод то ҷовидон номи ӯ;چنین باد تا جاودان نام او
ҳамон гаҳ дари диж кушоданд боз;همان گه در دژ گشادند باز
сербар;سی‌ربر
гуфт мағлуби ту будам масти ту;گفت مغلوب تو‌بودم مست تو
асли меҳнатҳост ин чунаш кашанд?;اصل محنتهاست این چونش کشند
одамиро ақл ҷоне дигар аст;آدمی را عقل و جانی دیگرست
хесидан;خیسیدن
рубоҳбоз;روباه‌باز
фоҷиа;فاجعه
шабаҳ;شبه
пойи ӯ месӯхт аз таъҷилу роҳ;پای او می‌سوخت از تعجیل و راه
чунки ҷоҳил шоҳи ҳукми мур шавад;چونک جاهل شاه حکم مر شود
баргустувон;برگ‌ستوان
восӯхтагӣ;وا‌سوختگی
ту мазан лоф эй ғаму ранҷи равон;تو مزن لاف‌ای غم و رنج روان
марзакаш;مر‌زهکش
ҳам ба фармон тӯҳфаро боз оваред;هم به فرمان تحفه را باز آورید
гилоякунон;گلایه‌کنان
хотирозурда;خاطر‌آزرده
воз;و‌از
ки дидам шигифтӣ дар ин рӯзгор;که دیدم شگفتی در این روزگار
ки кунун ҷома даридет аз азо?;که کنون جامه دریدیت از عزا
ту зи шуҳҳу бухл хоҳӣ в-аз даҳо;تو ز شح و بخل خواهی وز دها
огоҳонидан;آگاهانیدن
пира;پیره
ту гуфтӣ ки соми ял астӣ ба ҷой;تو گفتی که سام یلستی به جای
ахборнавис;اخبار‌نویس
сӯйи ту оранд султонон хироҷ;سوی تو آرند سلطانان خراج
палосин;پل‌اسین
суйи дасти ӯ даст бурдӣ фароз;سوی دست او دست بردی فراز
кундош;کند‌اش
садҳазорон мӯъҷизоти анбиё;صد هزاران معجزات انبیا
чун ду-се сол он нарӯяд чун кунӣ?;چون دو سه سال آن نروید چون کنی
миқёс;مقیاس
лутф ғолиб буд дар васфи худо;لطف غالب‌بود در وصف خدا
некӯфарҷомӣ;نیک‌فرجامی
аз он бадкуниш дев рӯи замин;از آن بد کنش دیو روی زمین
набзсанҷӣ;نبض‌سنجی
гар дусад бораш кунад моту хароб;گر دو صد بارش کند مات و خراب
чатр;چتر
гуфт хоҳӣ ки туро нахле кунанд;گفت خواهی که ترا نخلی کنند
гуфт овозаш фитод андар куништ;گفت که آوازش فتاد اندر کنشت
ҳама шохаш алмосу бар сандарӯс;همه شاخش الماس و بر سندروس
самандар;سمندر
гулшане к-аз ақл рӯяд хуррам аст;گلشنی کز عقل روید خرمست
ки ба пеши нафси ту омад расул;که به پیش نفس تو آمد رسول
мунтаҳо;منتهی
баюсидан;بیو‌سیدن
гӯяд эй яздон маро дар тан мабар;گوید‌ای یزدان مرا در تن مبر
каҳ ба вақту ҷав ба ҳангом омада;که به وقت و جو به هنگام آمده
шуд азозиле аз ин мастӣ билис;شد عزازیلی ازین مستی بلیس
декан;دیکن
бад-ин дард дармони дардам ту бош;بدین درد درمان دردم تو باش
мар занонро хилъату силлат диҳад;مر زنان را خلعت و صلت دهد
ин нишониҳо ки гуфт ӯ як ба як;این نشانیها که گفت او یک بیک
нест зикри баҳсу асрори баланд;نیست ذکر بحث و اسرار بلند
боз кун дарҳои нав ин хонаро;باز کن درهای نو این خانه را
ҳаст кавсар чун баҳор эй гулситон;هست کوثر چون بهار‌ای گلستان
паҳлавонсурат;پهلوان‌صورت
маҳпайкар;مه‌پیکر
зи албурзкӯҳ андаромад ба дашт;ز البرز کوه اندر آمد به دشت
музоида;مزایده
мегузашт он як фақеҳе бар дараш;می‌گذشت آن یک فقیهی بر درش
зи пайкон дар абр оҳанин жола хост;ز پیکان در ابر آهنین ژاله خاست
луқма;لقمه
аждаҳомонанд;اژدها‌مانند
гаҳе халта хартумаш андар шикам;گهی حلقه خرطومش اندر شکم
оташе хокистаре гардад ҳабо;آتشی خاکستری گردد هبا
чақалдоқ;چقلداق
аллаҳ аллаҳ ҷумла фарзандон биёр;الله الله جمله فرزندان بیار
дарангпеша;درنگ‌پیشه
на ба вақти шаҳватат бошад исор;نه به وقت شهوتت باشد عثار
чун кашидандаш ба пеши он азиз;چون کشیدندش به پیش آن عزیز
девонагӣ;دیوانگی
камтаъсир;کم‌تاثیر
пас занон гуфтанд ӯро мол нест;پس زنان گفتند او را مال نیست
рӯс;روس
мехуранд аз манн ҳамегарданд кӯр;می‌خورند از من همی گردند کور
хокдон;خاک‌دان
хира бигрезад ба хонай гандапир;خیره بگریزد بخانهٔ گنده‌پیر
чӯртакигӯй;چورتکیگوی
бемаънӣ;بی‌معنی
бари шоҳ он ҷой аз он пас ба ком;بر شاه آن جای از آن پس به کام
гуфт бо он кас ки моро офарид;گفت با آنکس که ما را آفرید
префикс;پری‌فیکس
қарқ;قرق
шикампарвар;شکم‌پرور
каллааш барканд мағзаш рехт зуд;کله‌اش بر کند مغزش ریخت زود
дар даҳони ту ба ҳимматҳои мо;در دهان تو به همتهای ما
роҳдор;را‌هدار
мустафоро чун зи шир ӯ боз кард;مصطفی را چون ز شیر او باز کرد
дар танат афсонагӯйи неъмате;در تنت افسانه گوی نعمتی
гуфт зан сидқ он бувад к-аз буди хеш;گفت زن صدق آن‌بود کز‌بود خویش
ҳиросат;حراست
явош;یواش
саргин;سر‌گین
замин гард шуд гашт бо чарх рост;زمین گرد شد گشت با چرخ راست
ки фитед андар шақоват то абад;که فتید اندر شقاوت تا ابد
касе к-он гиё бо майи хушгувор;کسی کآن گیا با می‌خوشگوار
ҳаме хоҳам эй довари кирдгор;همی خواهم از روشن کردگار
баҳабсгирӣ;بحبسگیری
гуфт ё раб беш аз ин хоҳам мадад;گفت یا رب بیش ازین خواهم مدد
равон парвар эдун ки танпарварӣ;روان پرور ایدونکه تن پروری
қиссаи рози ҳалима гӯямат;قصهٔ راز حلیمه گویمت
гелиодастгоҳ;گلیا‌دستگاه
чапаргӯш;چپر‌گوش
донаи ҳар мурғ андозай вай аст;دانهٔ هر مرغ اندازهٔ ویست
ёвидан;یاویدن
маи лаъл пеш ору пеши ман ой;می‌لعل پیش آر و پیش من آی
лесонидан;لیساندن
қадамгоҳ;قدمگاه
давонидан;دواندن
в-агар бо ту ҳазмон дигарсон бувад;وگر با تو هزمان دگرسان بود
ороидан;آرای‌دن
зуннор;ارّزن
ло бизайқин ло биайшин рағадан;لا بضیق لا بعیش رغدا
оганиш;آگنش
бипурсид аз ӯ шаҳрёри баланд;بپرسید ازو شهریار بلند
ғизохӯр;غذا‌خور
варсоқӣ;ور‌ساقی
яккаҳизбӣ;هحزبیّیک
дилгармӣ;دلگرمی
лаб бибанд ин ҷову хар ин сӯ марон;لب ببند اینجا و خر این سو مران
то бипурсам з-ин канизак чизҳо;تا بپرسم زین کنیزک چیزها
ҳамчу он як нури хуршеди само;هم‌چو آن یک نور خورشید سما
обу дона дар қафас к-ӯ ёфтаст;آب و دانه در قفس‌گر یافتست
улав;الو
пир андар хишт бинад пеш аз он;پیر اندر خشت بیند بیش از آن
аз салом аллайкашон кам ҷӯ амон;از سلام علیکشان کم جو امان
шутурвор сад пӯстҳои паланг;شتروار صد پوست‌های پلنگ
асидоз;اسید‌از
зоғ чун бишнуд омад аз ҳасад;زاغ چون بشنود آمد از حسد
магар ҳамчунон гуфтам обод тахт;مگر همچنان گفتم آباد تخت
гуфт агар пояй севумро биспарам;گفت اگر پایهٔ سوم را بسپرم
пояхароб;پایه‌خراب
парӣ дар ниҳеб аҳриман дар ҳарос;پری در نهیب اهرمن در هراس
мар биёбонро мафоза ном шуд;مر بیابان را مفازه نام شد
шаммае з-ин ҳол агар донистаме;شمه‌ای زین حال اگر دانستمی
ҳуррият;یتّحر
аз туам таҳдид кардӣ ҳар замон;از توم تهدید کردی هر زمان
қандак;قندک
к -имшабон ҳам бош ту меҳмони мо;که امشبان هم باش تو مهمان ما
карикатура;کریکت‌وره
чахидан;چخیدن
з-он ки мебофӣ ҳамасола бипӯш;زانک می‌بافی همه‌ساله بپوش
даст додастат худо коре бикун;دست دادستت خدا کاری بکن
менадонам дар ду олам максабе;می‌ندانم در دو عالم مکسبی
зар хоҳию турунҷ инак ин ду рухи ман;شاعر شهید و شهره فرالاوی
қаноаткор;قناعت‌کار
пур аз аждаҳо гашт гардун зи гард;پر از اژدها گشت گردون ز گرد
фиристод наздики шоҳи ҷаҳон;فرستاد باید به شاه جهان
ҷумла меҳмонон дар он ҳайрон шуданд;جمله مهمانان در آن حیران شدند
набототшиносӣ;نباتات‌شناسی
бозро гӯед рав рав бозгард;باز را گویند رو رو باز گرد
дар кашокашҳои таклифу хатар;در کشاکشهای تکلیف و خطر
ӯ-ш лағзониду ӯро зад қафо;اوش لغزانید و او را زد قفا
олам афсурдасту номи ӯ ҷамод;عالم افسردست و نام او جماد
он чаро бар ҷумла нохуш гашта буд;آن چرا بر جمله ناخوش گشته بود
хоҷа ҳар соле зи зарру моли хеш;خواجه هر سالی ز زر و مال خویش
фиристод пешам сипаҳ чанд бор;فرستاد پیشم سپه چند بار
к-аш аз эшон воситонӣ вохарӣ;کش ازیشان وا ستانی وا خری
яккасардор;هسردارّیک
мешуданд ин ҳар ду то наздики чоҳ;می‌شدند این هر دو تا نزدیک چاه
ҳама як ба дигар баромехтанд;همه یک به دیگر برآمیختند
дирӯзакак;دیروز‌کک
хун кунад дилрову ашки мустаҳон;خون کند دل را و اشک مستهان
то нагиряд абр кай хандад чаман?;تا نگرید ابر کی خندد چمن
ба пайкон маҳ аз чарх зер оваранд;به پیکان مه از چرخ زیر آورند
олам аз вай маст гашту саҳв шуд;عالم از وی مست گشت و صحو شد
ин ду иллат гар бувад эй ҷон маро;این دو علت گر‌بود ای جان مرا
доиракаш;دائره‌کش
нахустин ки оташ зи ҷунбиш дамид;نخستین که آتش به جنبش دمید
фиристод кас в-аз наримон бихост;فرستاد کس وز نریمان بخواست
якнавохт;یک‌نواخت
гирифт офарин бар чунон зӯру даст;بسی گوهر و سیم و زر یافتند
пас зи бом афтод ӯро низ ташт;پس ز بام افتاد او را نیز طشت
фразеологӣ;فرزیالاگی
чун далел орӣ хаёлаш беш шуд;چون دلیل آری خیالش بیش شد
ҳусни сурат ҳам надорад эътибор;حسن صورت هم ندارد اعتبار
то ки гуфторат зи ҳоли ту бувад;تا که گفتارت ز حال تو بود
ин нишони хасфу қазфу соиқа;این نشان خسف و قذف و صاعقه
обакӣ;آب‌کی
иҷл бо он нур шуд қиблай карам;عجل با آن نور شد قبلهٔ کرم
ҳар яке бар нияте такбир кард;هر یکی بر نیتی تکبیر کرد
эй кариму эй раҳими сармадӣ;‌ای کریم و‌ای رحیم سرمدی
то ки номусаш ба пеши ину он;تا که ناموسش به پیش این و آن
ки худ ранҷ бурдан ба дониш сазост;که خود رنج بردن به دانش سزاست
кӯтоҳандешӣ;کوتاه‌اندیشی
бардӣ;بردی
шавад ром гӯяд манучеҳршоҳ;شود رام گویی منوچهر شاه
чун чунин афтод моро иттифоқ;چون چنین افتاد ما را اتفاق
ки чӣ мегӯянд он аҳли карам;که چه می‌گویند آن اهل کرم
тан аз ҷома дуру лаб аз шир пок;تن از جامه دور و لب از شیر پاک
аз дили ман то дили ту равзан аст;از دل من تا دل تو روزنست
чанд гоҳе дар сиболи худ биханд;چندگاهی بر سبال خود بخند
аждаҳосар;اژدها‌سر
чашмикордон;چشم‌کاردان
аҳдбандӣ;عهد‌بندی
луқмаи ҳирсу амал з-онанд халқ;لقمهٔ حرص و امل زانند خلق
нур кай ёбанд аз вай дигарон?;نور کی یابند از وی دیگران
работӣ;رباتی
гар надорӣ заҳреяшро эътиқод;‌گر نذاری زهری‌اش را اعتقاد
аз вай ар соя нишоне медиҳад;از وی ار سایه نشانی می‌دهد
аз ту хоҳам он чӣ ман додам ба ту;از تو خواهم آنچ من دادم به تو
зи бас хун ки ҳар ҷой пошида буд;ز بس خون که هر جای پاشیده شد
ту гуфтӣ кунун кардаанд аз ниҳод;تو گفتی کنون کرده‌اند از نهاد
гар ҷаҳон пешат бузургу бебунест;گر جهان پیشت بزرگ و بی‌بنیست
к-ин хаёли туст баргардон варақ;کین خیال تست برگردان ورق
в-ин фурӯшандай дуъо ҳам зулмҷӯст;وین فروشندهٔ دعاها ظلم‌جوست
пуроташ яке ташти рахшон зи зар;پر آتش یکی طشت رخشان ز زر
биғуррид бар кӯс чарми ҳижабр;بغرید بر کوس چرم هژبر
барам пӯзишат н-ояд он гаҳ ба кор;برم پوزشت نآید آن گه به کار
ба кораш-дарун нест чуну чаро;به کارش درون نیست چون و چرا
киборзода;کبارزاده
бо малик гуфтанд шоҳе аз мулук;با ملک گفتند شاهی از ملوک
даромадан;در‌امدن
ақл боястӣ к-аз эшон гум задӣ;عقل بایستی کز ایشان کم زدی
марди аҳмақ зишту мардуди ҳақ аст;مرد احمق زشت و مردود حقست
дуним;دو‌نیم
пас бад-эшон гуфт он шоҳи мутоъ;پس بدیشان گفت آن شاه مطاع
бодгар;با‌دگر
к-эй худо имон аз ӯ мастон мабар;کای خدا ایمان ازو مستان مبر
ки аз ҳиддаташ гашт алмос кунд;که از حدتش گشت الماس کند
ибратбин;عبرت‌بین
ҷон-ш хӯгар буд бо лутфу вафош;جانش خوگر‌بود با لطف و وفاش
фитна омад дар кафи бадгавҳарон;فتنه آمد در کف بدگوهران
сабзвор - андар абӯбакре биҷӯ;سبزوار اندر ابوبکری بجو
хоҷа дар айб аст ғарқа то ба гӯш;خواجه در عیبست غرقه تا به گوش
зиштовозиву кӯрӣ шуд дуто;زشت‌آوازی و کوری شد دوتا
бирафтанд вайлакунон сӯи кӯҳ;برفتند ویله کنان سوی کوه
чун алӣ ту оҳ андар чоҳ кун;چون علی تو آه اندر چاه کن
гуфт хона аз куҷо омад ба даст?;گفت خانه از کجاش آمد بدست
ё чу заррингӯшвор аз хубгӯш;یا چو زرین گوشوار از خوب گوش
