tj;fa
эй ту зеҳ карда ба кини ман камон;ای تو زه کرده به کین من کمان
бемаърифатӣ;بی‌معرفتی
феъли мо осори халқи эзид аст;فعل ما آثار خلق ایزدست
чун шунид аз сӯйи дарё дод дод;چون شنید از سوی دریا داد داد
лаби мӯбадон хушку рухсора тар;لب موبدان خشک و رخساره تر
гаронмоя синдухт бинҳод рӯй;گرانمایه سیندخت بنهاد روی
гулчинӣ;گل‌چینی
гуфт аҳмад рост гуфтӣ эй азиз;گفت احمد راست گفتی‌ای عزیز
суйи шоҳ бо лашкар оғоз кард;سوی شاه با لشکر آغاز کرد
созишгар;ساز‌شگر
рӯйи торикаш зи маҳ мубдал шудаст;روی تاریکش ز مه مبدل شدست
ҳам бар он дар гард кам аз саг мабош;هم بر آن در گرد کم از سگ مباش
мазмундор;مضمون‌دار
санг бо ту дар сухан омад шаҳир;سنگ با تو در سخن آمد شهیر
баробар кашиданд саффи набард;برابر کشیدند صف نبرد
аз таҳороти муҳит ӯ дарсашон;از طهارات محیط او درسشان
сарборӣ;سر‌باری
сиддиқ;صدیق
ғурвоша;غرواشه
ин дарояд сар ниҳанд ӯро бутон;این در آید سر نهند او را بتان
дӯғро дар хумра ҷунбонандае;دوغ را در خمره جنباننده‌ای
ҷаҳонгирӣ;جهانگیری
то ҳама нола-в нафир афрохтанд;تا همه ناله و نفیر افراختند
рӯдавӣ;رود‌وی
карда;کرده
вай афтода танҳо дар ин банди танг;وی افتاده تنها درین‌بند تنگ
чу аз нима хам ёфт болои рӯз;چو از نیمه خم یافت بالای روز
дилат хоҳиши соми найрам куҷост?;دلت راهش سام زابل کجاست
ақли мӯсо буд дар дидаш кадир;عقل موسی‌بود در دیدش کدر
то шудӣ ту суст дар ишколи ман;تا شدی تو سست در اشکار من
оқиле бояд ки хоре барканад;عاقلی باید که خاری برکند
нодир;نادر
шангула;شن‌گوله
уфтодан;افتادن
бари хеш ҳамбар-ш биншонд шод;بر خویش همبرش بنشاند شاد
боз бо худ гуфта фиръавн эй аҷаб;باز با خود گفته فرعون‌ای عجب
кафтархона;کفترخانه
бубинему расми каёникулоҳ;ببینی و رسم کیانی کلاه
хонаи ваҳяш пур аз ҳалво шудаст;خانهٔ وحیش پر از حلوا شدست
ғавоят;غوایت
вопурсидан;وا‌پرسیدن
ки ҳаст ӯ худой омада з-осмон;که هست او خدای آمده ز آسمان
сергапӣ;سیر‌گپی
беҷуръат;بی‌جرئت
аробағард;ارابه‌گرد
омаро аз ишқи ҳамхоба-в табақ;عامه را از عشق هم‌خوابه و طبق
ҳаст садчандон ки буд тӯфони нӯҳ;هست صد چندان که بد طوفان نوح
оқилтарошӣ;عاقل‌تراشی
дилдода;دلداده
ғавғогар;غوغا‌گر
чашмаи ҳайвону ҷоми мастӣ аст;چشمهٔ حیوان و جام مستی است
нашъунамо;نشاونما
беномусӣ;بی‌ناموسی
саққохона;سقاخانه
ҳаққи он оне ки ину он аз ӯст;حق آن آنی که این و آن ازوست
ки дарафгандӣ ба макр ин ҷо дуӣ;که در افکندی به مکر اینجا دوی
эй хунук онро ки рӯйи ту надид;ای خنک آن را که روی تو ندید
фасоднок;فساد‌ناک
дилу дида бо ман надоранд рост;دل و دیده با ما ندارند راست
резон;ریزان
мустамликадорӣ;مستملکهداری
биёбон зи сад мил раҳ яксара;بیابان ز صد میل ره یکسره
беасл;بی‌اصل
хӯла;خوله
агар бар хирад хира бедод кард;اگر بر خرد خیره بیداد کرد
босир;با‌صر
ман ҳамебинам ҷаҳонро пурнаъим;من همی‌بینم جهان را پر نعیم
шабеҳ;شبیه
ақл кай ҳукме кунад бар чӯбу санг?;عقل کی حکمی کند بر چوب و سنگ
камхоб;کم‌خواب
дили реги ташна зи хун сер шуд;دل ریگ تشنه ز خون سیر شد
бад-ӯ гуфт оре ҳамин аст рост;بدو گفت آری همینست راست
дар фурӯ бастанд аҳли хонааш;در فرو بستند اهل خانه‌اش
пазириш;پذیرش
ҳама гуфт аз кори зангиву роҳ;روان کرد گنجی از اندازه بیش
қадампартоӣ;قدمپرتائی
гарчи нанги шоирӣ бар марг илқо мекунад;گرچه ننگ شاعری بر مرگ القا می‌کند
рафтаӣ дар хуни ҷонам ошкор;رفته‌ای در خون جانم آشکار
ҳамчу аз обу гили одамкада;هم‌چو از آب و گل آدم‌کده
ба хун баргу бораш бихоҳем шуст;به خون برگ و بارش بخواهیم شست
шайхулислом;شیخ‌الاسلام
бешараф;بیش‌رف
хушдилам дар ботин аз ҳукми зубур;خوش‌دلم در باطن از حکم زبر
ғабоза;غبازه
дира;دیره
салис;سلیس
сейсмология;سیسمالاگیه
ҳам аз дасти рӯдоба пероя дид;هم از دست رودابه پیرایه دید
ҳамон фарш хонест ороста;همان فرش خوانیست آراسته
маконидан;مکانی‌دن
фанн;فن
баҳрабарӣ;به‌رهبری
ҷавшанхой;جوشن‌خای
ҳар яке таърихи умр ибдо кунед;هر یکی تاریخ عمر ابدا کنید
кист он гумгашта к-иш фазлат наҷуст?;کیست آن گم‌گشته کش فضلت نجست
хап;خپ
куҷо номи ӯ зоти авҳом буд;کجا نام او ذات اوهام بود
кун қарини хосагонам эй илоҳ;کن قرین خاصگانم‌ای اله
мутаҳаррик;کّمتحر
мутолиба;مطالبت
ӯ мукаррар кард руқъа панҷ бор;او مکرر کرد رقعه پنج بار
шикастан;شکستن
ҳашивор;هشیوار
адабсарой;یادبسرا
камонгӯша;کمان‌گوشه
ҳавасмандгардонӣ;هوسمندگردانی
камеравӣ;کم‌روی
акмаву абрас чӣ бошад? мурда низ;اکمه و ابرص چه باشد مرده نیز
худ марон чун марди киштибон найӣ;خود مران چون مرد کشتیبان نه‌ای
ҳазору чиҳил танг хаззу самур;هزار و چهل تنگ خز و سمور
бадалшавандагӣ;بدل‌شوندگی
арҷ;ارج
шумурдан;شمردن
ишхор;اش‌خار
андар ин ҷо зоеъ асту мамтаҳақ;اندرین جا ضایعست و ممتحق
маънии ӯ дар валад боқӣ бувад;معنی او در ولد باقی بود
аз ҷаҳони зиндагӣ сер омадам;از جهان زندگی سیر آمدم
хок бар бод асту бозӣ мекунад;خاک بر بادست و بازی می‌کند
сурати марг асту нуқлон карданист;صورت مرگست و نقلان کردنیست
маза ёфт з-он хӯрданаш некбахт;مزه یافت خواندش ورا نیک‌بخت
ҳин ба ҷойи май ба ман заҳре диҳед;هین به جای می‌به من زهری دهید
сермӯй;یسیرمو
анӯдона;انو‌دانه
соате бигристу дар пояш фитод;ساعتی بگریست و در پایش فتاد
коллективонӣ;کتیوانیّکال
балки табъан хасми ҷони одамист;بلک طبعا خصم جان آدمیست
чун ба ҷид ҳоким бад-ӯ гуфт ин бикан;چون بجد حاکم بدو گفت این بکن
истиллоҳӣ;اصطلاحی
маънии маъшуқ ҷон дар раг чу хун;معنی معشوق جان در رگ چو خون
бар он меҳтарӣ офарин барфузуд;برآن کهتری آفرین برفزود
пурандеша биншаст бар сони маст;پر اندیشه بنشست برسان مست
якхонагӣ;یک‌خانگی
ки ба гӯшам омад ин ду чор донг?;که بگوشم آمد این دو چار دانگ
зи гармиш пас хушкӣ омад падид;ز گرمیش پس خشکی آمد پدید
то нагардад дӯст хасму душманат;تا نگردد دوست خصم و دشمنت
бол неву гирди олам мепаранд;بال نه و گرد عالم می‌پرند
ҳар касеро даъвии ҳусну намак;هر کسی را دعوی حسن و نمک
шикояткунанда;شکایت‌کننده
мухаддара;مخدر‌ه
ҳам эдун шикаста бубандаш чу санг;همیدون شکسته ببندش چو سنگ
з-он ки файзе дорад аз файёзиям;زانک فیضی دارد از فیاضیم
иртиҷоъ;ارتجاع
чархишравон;چرخ‌شروان
ҳаме дев гиранд ҳар як ба мор;همی دیو گیرند هر یک به مار
гар ба молу милку сарват фардаме;گر به مال و ملک و ثروت فردمی
в-ар нависам бас қаламҳо бишканад;ور نویسم بس قلمها بشکند
дар тавофи шаҳрҳову қалъаҳош;در طواف شهرها و قلعه‌هاش
муқтадии офтобат мешавам;مقتدی آفتابت می‌شوم
ба бахши худованд хурсанд бош;به بخش خداوند خرسند باش
пурҳайрат;پر‌حیرت
бе иҷобат бар дуъоҳо метанид;بی‌اجابت بر دعاها می‌تنید
гуфт мӯсо эй худованди ҳисоб;گفت موسی‌ای خداوند حساب
дойим оташро битарсонанд аз об;دایم آتش را بترسانند از آب
ризоманд;رضا‌مند
шаҳ мусаллам дошт он макрубро;شه مسلم داشت آن مکروب را
обшинос;آب‌شناس
барад тӯша з-ӯ ройгон солу моҳ;برد توشه زو رایگان سال و ماه
номувофиқ;نام‌وافق
парданишин;پرده‌نشین
говбоз;گاو‌باز
ҷоҳталаб;جاه‌طلب
бихур зуд аз ӯ меҳмонвор сер;بخور زود ازو میهمان وار سیر
сӯна;سونه
танумандро аз хуриш чора нест;تنومند را از خورش چاره نیست
ҳар ҷиде ҳазл аст пеши ҳозилон;هر جدی هزلست پیش هازلان
сенуқта;سه‌نقطه
пас бигуфташ бар миёнат чист ин?;بد بیندیشد بدرم اشکمش
маҳд;مهد
мушҳалак;موشه‌لک
муқтазо;مقتضا
ки эй номвар паҳлавони далер;که‌ای نامور پهلوان دلیر
касеро бувад з-ин сипас тахти ту;کسی را‌بود زین سپس تخت تو
отун;آتون
бадмаст;بد‌مست
дандона;دندانه
бихоҳӣ ки то довари кирдгор;بخواهی که تا داور کردگار
бокира;با‌کره
омодасозӣ;آماده‌سازی
сабукрафтор;سبک‌رفتار
ширешпаз;شریشپز
мевадиҳанда;میوه‌دهنده
ба каф ҷоми май чашмаи нӯш гашт;به کف جام می‌چشمه نوش گشت
пошикаста мераванд ин қавм ҳаҷ;پا شکسته می‌روند این قوم حج
в-он ки ӯ меҷуст андар хонааш;وانک او می‌جست اندر خانه‌اش
ихтиёран;اختیار‌ا
ҳама дашт буд кӯҳи пӯлод баст;همه دشت بد کوه پولاد بست
фориғам аз тумтароқу аз риё;فارغم از طمطراق و از ریا
заҳраат надрид то з-он заҳраат;زهره‌ات ندرید تا زان زهره‌ات
фиристодам инак ба ойини пеш;فرستادم اینک به آیین به پیش
ғайратмандӣ;غیرتمندی
бигираш нигун зинда бар дор кун;بگیرش نگون زنده بر‌دار کن
замин сар ба сар дебаи чин гирифт;زمین سر به سر دیبه چین گرفت
сипаҳро чунин панҷ раҳ бозгошт;سپه را چنین پنج ره باز گاشت
оби ширинро надидаст ӯ мадад;آب شیرین را ندیدست او مدد
соҳибулҷайш;صاحب‌الجیش
в-ар кунӣ ӯро баҳона оварӣ;ور کنی او را بهانه آوری
китобатӣ;کتاب‌تی
бияфканду пушту сараш кард хурд;بیفکند و پشت و سرش کرد خرد
то зи сарҳои бурида пушта шуд;تا ز سرهای بریده پشته شد
дон ки ҳар мадҳе ба нури ҳақ равад;دان که هر مدحی بنور حق رود
гарчи шерӣ чун равӣ раҳ бедалел;گرچه شیری چون روی ره بی‌دلیل
гиряд ӯ гарчи на бад донад на нек;گرید او‌گر چه نه بد داند نه نیک
дафтарӣ;دفتری
зулмонӣ;ظلمانی
нобарор;ن‌ابرار
воқеоте ки дар охир хост буд;واقعاتی که در آخر خواست بود
гуфт луқмон саййдо пеши худо;گفت لقمان سیدا پیش خدا
дидаро бар лубби луб нафроштанд;دیده را بر لب لب نفراشتند
ба печиш гирифтанд гурдон инон;به پیچش گرفتند گردان عنان
бо халил оташ гулу райҳону вард;با خلیل آتش گل و ریحان و ورد
мадҳия;مد‌حیه
хадангаш уқоби сабукбол кард;خدنگش عقاب سبکبال کرد
заҳра на касро ки гӯяд ҳин бихон;زهره نه کس را که گوید هین بخوان
вафоандеш;وفا‌اندیش
ҳаметохт таррӣ зи сардӣ фароз;همی تاخت ترّی ز سردی فراز
нӯшлаб;نوش‌لب
ӯғуршакл;اوغرشکل
муттаҳид нақше надорад ин саро;متحد نقشی ندارد این سرا
вагарна;و‌گرنه
гуфт шоҳо сайди эҳсони ту аст;گفت شاها صید احسان توست
дар хабар хайру-л-умур авсотуҳо;در خبر خیر الامور اوساطها
кирмхӯрда;کرم‌خورده
ғозие бар мурдагон натвон намуд;غازیی بر مردگان نتوان نمود
хароботгардӣ;خرابات‌گردی
ҳамон гови бармоя к-ам доя буд;همان گاو بر مایه کم دایه بود
агар шуд фаридун чунин шаҳрёр;اگر شد فریدون جهان شهریار
беандеша;بی‌اندیشه
кушондан;کشاندن
касеро ки созанд бо ҷон газанд;کسی را که سازند با جان گزند
лек доманҳои ҷомай ӯ дароз;لیک دامنهای جامهٔ او دراز
чунон кард динро ба шамшери тез;چنان کرد دین را به شمشیر تیز
в-ин таваҳҳум мояи тахйилҳост;وین توهم مایه تخییلهاست
за бас ромишу хушшии меҳтарон;ز بس رامش و خوشی مهتران
гирифтӣ бихандидӣ аз бӯйи ӯй;گرفتی  بخندیدی از بوی اوی
сипаҳкаш чу гаршосп – гурди далер;سپهکش چو گرشاسب گرد دلیر
оидотӣ;عائداتی
яке бора зер - андараш ҳамчу бод;یکی باره زیراندرش همچو باد
шафақрухсора;شفق‌رخساره
умумиаврупоӣ;عمومیاوروپائی
шиҳобборон;شهاب‌باران
ки накнад бар ӯ оташи тез кор;که نکند بر او آتش تیزکار
чашмро чашме набуд аввал яқин;چشم را چشمی نبود اول یقین
фикр;فکر
миқдор;مقدار
пас бимирад он ҳавасҳо дар нуфус;شهر از آن آمن شود کان شهریار
ҳар тараф гургест андар қасди хар;هر طرف گرگیست اندر قصد خر
ҳаморо ба охшич ҳаморо ба корзор;پای آزادگان نیابد سر
каҷабрӯ;کجا‌برو
сияҳкӯш;سیه‌کوش
буҷул;ب‌جول
ин-ш гӯяд нест чун ту дар вуҷуд;اینش گوید نیست چون تو در وجود
интизорбаранда;انتظار‌برنده
ранги майро боздон аз ранги кос;رنگ می‌را باز دان از رنگ کاس
зар бимонад некному бе зи шак;زر بماند نیک نام و بی‌ز شک
то муборак гардад аз иқдоми ту;تا مبارک گردد از اقدام تو
гуҳарпарвар;گهر‌پرور
зиёфатхӯр;ضیافت‌خور
худобехабар;خدا‌بیخبر
чингак;چنگک
арҳамарроҳимин;ارحم‌الراحمین
симфония;سمفانیه
чӣ шараф ёбад зи киштӣ баҳри дур?;چه شرف یابد ز کشتی بحر در
пеши шере оҳуе беҳуш шуд;پیش شیری آهوی بیهوش شد
